fiscal_year,solar_energy_equipment_system_credit,type
2003,6.00E+05,actual
2004,5.00E+05,actual
2005,4.00E+05,actual
2006,1.70E+06,actual
2007,2.30E+06,actual
2008,3.20E+06,actual
2009,4.70E+06,actual
2010,7.40E+06,actual
2011,6.40E+06,actual
2012,7.20E+06,actual
2013,1.07E+07,actual
2014,2.04E+07,actual
2015,3.48E+07,actual
2016,3.98E+07,actual
2017,3.87E+07,actual
2018,4.56E+07,actual
2019,5.28E+07,actual
2020,4.54E+07,actual
2021,5.50E+07,forecast
2022,5.50E+07,forecast
2023,5.50E+07,forecast